name,team,sim_pitcher_1,sim_score_1,sim_pitcher_2,sim_score_2,sim_pitcher_3,sim_score_3
Keegan Akin,Orioles,Deivi Garcia,981,Adrian Houser,968,Alec Mills,967
Matt Magill,Mariners,Scott Barlow,894,Ryan Pressly,893,Dellin Betances,874
Conner Menez,Giants,Robert Dugger,993,Jack Flaherty,972,Mitch Keller,972
Matt Andriese,Angels,Tommy Milone,928,Devin Smeltzer,922,Lucas Giolito,918
Javy Guerra,Nationals,Wilmer Font,966,J.A. Happ,927,Nick Margevicius,899
Aaron Civale,Indians,Shane Bieber,920,Corbin Burnes,913,Zac Gallen,913
Matthew Boyd,Tigers,Caleb Smith,984,Trevor Williams,979,David Peterson,972
Mark Melancon,Braves,Josh Tomlin,771,Brandon Workman,757,Wander Suero,740
Ross Stripling,- - -,Griffin Canning,972,Brady Lail,964,Ryan Castellani,954
Chasen Shreve,Mets,Hansel Robles,937,Shun Yamaguchi,859,Matt Shoemaker,833
Randy Dobnak,Twins,Justus Sheffield,988,Michael Pineda,971,Kyle Cody,967
Eric Lauer,Brewers,Daniel Mengden,947,Trevor Bauer,940,Chris Bassitt,935
Clayton Kershaw,Dodgers,Chad Kuhl,960,Tejay Antone,956,Lucas Sims,949
Nick Goody,Rangers,Sam Selman,993,Andrew Miller,983,Amir Garrett,972
Kolby Allard,Rangers,Jon Lester,965,Jake Arrieta,949,Marco Gonzales,944
Adam Morgan,Phillies,Luis Cessa,953,Zach Plesac,910,Lewis Thorpe,907
Andrew Heaney,Angels,Trevor Rogers,975,T.J. McFarland,973,Dillon Tate,973
Ross Detwiler,White Sox,Jimmy Herget,944,Tyler Zuber,919,Taylor Clarke,910
Kris Bubic,Royals,Buck Farmer,976,Kyle Hendricks,961,Alex Cobb,959
Ljay Newsome,Mariners,Felix Pena,964,Jose Berrios,957,Ian Anderson,945
Brad Hand,Indians,Will Smith,957,Dellin Betances,924,Dakota Bacus,920
Jared Hughes,Mets,Aaron Slegers,965,Daniel Bard,939,Nick Wittgren,925
Kenta Maeda,Twins,Carlos Carrasco,892,Johnny Cueto,851,Kyle Gibson,847
Jose Quintana,Cubs,Jorge Lopez,981,Framber Valdez,978,Corey Knebel,953
Elieser Hernandez,Marlins,Brady Singer,981,Brad Keller,977,Ryan Thompson,972
Ryan Thompson,Rays,Austin Brice,975,Brad Keller,974,Elieser Hernandez,972
Brandon Kintzler,Marlins,Nick Wittgren,863,Jared Hughes,856,Aaron Slegers,854
Kyle McGowin,Nationals,Robert Stephenson,897,Sam Howard,890,Tyler Kinley,877
Johnny Cueto,Giants,Brett Anderson,974,Sean Manaea,941,Nick Ramirez,936
Oliver Drake,Rays,Hector Neris,804,Chasen Shreve,782,Hansel Robles,748
Trevor Williams,Pirates,Caleb Smith,995,Rick Porcello,981,Matthew Boyd,979
Justin Dunn,Mariners,Alex Reyes,920,Austin Gomber,906,Max Fried,901
Aaron Slegers,Rays,Jared Hughes,965,Hector Rondon,946,Kevin Ginkel,932
Alex Wood,Dodgers,Aaron Nola,974,Duane Underwood Jr.,949,Robbie Erlin,937
Sam Selman,Giants,Andrew Miller,996,Nick Goody,993,Amir Garrett,961
Adam Plutko,Indians,Chris Bassitt,947,Eric Lauer,921,Trevor Bauer,919
